date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
05,11.2019 14:16:51;35.6;1.52;301.2;339.55300982693615;285.8;Module 1,1_15;366.07;54,11;35,76;1,65;59,00;-4,89
05,11.2019 14:24:38;35.6;1.5;303.2;313.4120415536248;286.23;Module 1,1_15;337.91;53,40;35,34;1,52;53,66;-0,26
05,11.2019 14:26:37;35.4;1.57;303.2;330.02179064689506;286.5;Module 1,1_15;355.83;55,58;35,38;1,60;56,70;-1,12
05,11.2019 14:28:31;35.3;2.43;303.2;527.070359748933;286.92;Module 1,1_15;568.31;85,78;35,56;2,60;92,49;-6,71
05,11.2019 14:30:25;35.3;3.73;303.2;763.5226010547747;287.78;Module 1,1_15;823.3;131,67;35,41;3,80;134,44;-2,78
05,11.2019 14:32:18;34.6;3.68;303.2;753.6631871594521;288.78;Module 1,1_15;812.71;127,33;35,42;3,75;132,72;-5,39
05,11.2019 14:52:00;36.3;3.2;303.7;689.4291506040984;286.58;Module 1,1_15;744.13;116,16;35,40;3,42;121,14;-4,98
05,11.2019 14:53:53;36.1;3.41;303.7;713.7605507440005;287.41;Module 1,1_15;770.49;123,10;35,38;3,55;125,41;-2,31
05,11.2019 14:55:46;35.1;1.53;303.7;317.73073856773595;287.89;Module 1,1_15;343.03;53,70;35,26;1,54;54,32;-0,61
05,11.2019 14:57:39;35.2;1.53;305.2;395.92401781614717;288.05;Module 1,1_15;427.51;53,86;35,13;1,94;68,06;-14,20
05,11.2019 14:59:32;35.5;1.28;305.2;305.78581757783434;288.17;Module 1,1_15;330.23;45,44;34,95;1,48;51,76;-6,32
05,11.2019 15:01:25;35.4;2.15;305.2;336.54967725347734;288.38;Module 1,1_15;363.51;76,11;35,03;1,64;57,33;18,78
05,11.2019 15:03:20;35.4;1.77;305.2;310.4263266882006;288.51;Module 1,1_15;335.35;62,66;34,97;1,50;52,60;10,06
05,11.2019 15:05:54;34;1.94;305.2;395.6433667950321;288.95;Module 1,1_15;427.51;65,96;35,13;1,94;68,01;-2,05
05,11.2019 15:07:48;34.7;1.49;305.7;295.6114443545345;289.03;Module 1,1_15;319.48;51,70;34,84;1,43;49,79;1,91
05,11.2019 15:09:42;34.9;2.26;305.7;473.6477442527068;289.21;Module 1,1_15;511.99;78,87;35,11;2,33;81,83;-2,96
05,11.2019 15:11:35;35;3.3;305.7;694.4169431827436;289.88;Module 1,1_15;750.78;115,50;35,05;3,45;120,82;-5,32
05,11.2019 15:13:28;34.5;2.21;305.7;411.9050448557547;290.39;Module 1,1_15;445.43;76,25;35,06;2,02;70,76;5,48
05,11.2019 15:15:20;36.2;2.92;305.7;701.9464118513804;290.81;Module 1,1_15;759.24;105,70;35,04;3,49;122,13;-16,43
05,11.2019 15:17:13;35.7;3.2;306.7;657.1901973213884;291.09;Module 1,1_15;710.99;114,24;34,90;3,26;113,75;0,49
05,11.2019 15:36:34;35.8;1.11;305.7;578.0886770780002;286.96;Module 1,1_15;627.19;39,74;35,11;2,86;100,40;-60,67
05,11.2019 15:38:17;37.2;3.02;305.7;577.9135873467262;287.56;Module 1,1_15;627.19;112,34;35,11;2,86;100,37;11,97
05,11.2019 15:40:11;35.9;1.16;305.7;459.8110901868304;287.99;Module 1,1_15;499.19;41,64;35,10;2,26;79,36;-37,71
05,11.2019 16:37:12;35.4;0.59;299.1;296.463257243429;289.29;Module 1,1_15;327.5;20,89;36,02;1,43;51,56;-30,67
06,11.2019 10:54:39;37.2;0.84;295.1;273.38570960561964;280.78;Module 1,1_15;308.7;31,25;36,66;1,31;48,13;-16,88
06,11.2019 10:56:37;39.3;1.22;295.1;354.1086850677099;281.11;Module 1,1_15;399.35;47,95;36,87;1,72;63,47;-15,53
06,11.2019 11:04:51;38.2;1.2;297.1;301.0980945831163;281.87;Module 1,1_15;337.91;45,84;36,39;1,45;52,91;-7,07
06,11.2019 11:06:44;38.4;1.18;297.1;287.1588211930434;282.13;Module 1,1_15;321.93;45,31;36,35;1,38;50,29;-4,97
06,11.2019 11:08:41;38.4;1.49;297.6;347.4490862154103;282.39;Module 1,1_15;389.11;57,22;36,41;1,69;61,50;-4,28
06,11.2019 11:58:59;39.2;2.46;297.1;621.274996099195;282.85;Module 1,1_15;682.04;96,43;36,61;3,08;112,58;-16,15
06,11.2019 12:00:52;38.5;1.85;301.2;333.6344742083053;283.7;Module 1,1_15;366.07;71,23;35,74;1,62;57,91;13,31
06,11.2019 12:12:47;38;1.29;301.2;531.2790795424573;283.54;Module 1,1_15;581.11;49,02;35,91;2,62;94,15;-45,13
06,11.2019 14:36:21;36.8;3.56;297.6;740.5330245907393;283.38;Module 1,1_15;799.42;131,01;36,41;3,68;133,97;-2,96
06,11.2019 14:38:04;36.4;3.5;299.1;635.5272382908865;284.1;Module 1,1_15;686.11;127,40;36,25;3,15;114,11;13,29
06,11.2019 14:39:57;36;3.35;299.1;695.550135911265;284.97;Module 1,1_15;750.97;120,60;36,20;3,45;124,95;-4,35
06,11.2019 14:42:01;35.7;3.02;301.2;467.0486856199557;285.6;Module 1,1_15;504.31;107,81;35,91;2,30;82,44;25,38
06,11.2019 14:43:53;35.2;2.52;301.2;703.5777684051725;285.74;Module 1,1_15;759.78;88,70;35,83;3,49;125,14;-36,43
06,11.2019 14:45:46;34.9;3.08;301.2;627.7100136011422;286.1;Module 1,1_15;677.92;107,49;35,88;3,11;111,57;-4,08
06,11.2019 14:47:39;34.4;1.87;301.7;283.8797700212249;286.53;Module 1,1_15;306.62;64,33;35,52;1,37;48,60;15,72
06,11.2019 14:49:38;34.3;1.8;301.7;402.8658595277456;286.47;Module 1,1_15;435.19;61,74;35,77;1,97;70,50;-8,76
06,11.2019 15:21:34;35.5;2.01;301.2;455.9518145497833;284.96;Module 1,1_15;494.07;71,35;35,90;2,24;80,41;-9,05
06,11.2019 15:23:31;35.9;1.98;301.2;460.55299725743635;285.48;Module 1,1_15;499.19;71,08;35,90;2,26;81,25;-10,17
06,11.2019 15:29:09;34.9;1.13;301.2;325.655360762115;285.62;Module 1,1_15;353.27;39,44;35,73;1,58;56,44;-17,00
06,11.2019 15:59:59;36.1;0.73;297.6;440.84799909133005;284.03;Module 1,1_15;481.27;26,35;36,52;2,16;78,97;-52,62
07,11.2019 10:38:00;40.3;0.76;293.1;270.1583032361531;282.14;Module 1,1_15;309.33;30,63;37,01;1,30;47,95;-17,32
07,11.2019 10:39:53;40.3;1.07;295.6;279.1069912253806;282.31;Module 1,1_15;319.08;43,12;36,59;1,34;49,11;-5,99
07,11.2019 10:41:47;37.9;1.32;295.6;289.30058235704973;282.49;Module 1,1_15;330.23;50,03;36,63;1,39;51,04;-1,01
07,11.2019 10:43:40;37.3;1.4;295.1;291.9716089905714;282.7;Module 1,1_15;332.79;52,22;36,73;1,41;51,67;0,55
07,11.2019 10:45:36;36.9;1.42;295.1;296.89828889507373;282.85;Module 1,1_15;337.91;52,40;36,74;1,43;52,60;-0,20
07,11.2019 10:49:12;36.4;1.44;295.6;304.44291636730185;283.02;Module 1,1_15;345.59;52,42;36,67;1,47;53,91;-1,50
07,11.2019 10:51:10;37.3;1.4;295.6;311.63678402530525;283.19;Module 1,1_15;353.27;52,22;36,69;1,51;55,28;-3,06
07,11.2019 10:53:33;37.9;1.47;297.1;316.66467293948654;283.44;Module 1,1_15;358.39;55,71;36,44;1,53;55,85;-0,13
07,11.2019 10:55:26;37.1;1.51;297.1;319.32206909322326;283.51;Module 1,1_15;360.95;56,02;36,44;1,55;56,35;-0,32
07,11.2019 10:57:19;37.1;1.55;297.1;326.51022925114137;283.56;Module 1,1_15;368.63;57,51;36,46;1,58;57,70;-0,19
07,11.2019 10:59:12;36.5;1.56;297.1;333.704951187184;283.64;Module 1,1_15;376.31;56,94;36,48;1,62;59,05;-2,11
07,11.2019 11:01:10;37.4;1.56;297.1;340.92301119877766;283.67;Module 1,1_15;383.99;58,34;36,49;1,66;60,41;-2,07
07,11.2019 11:03:03;38.7;1.63;297.6;350.4053583394493;283.79;Module 1,1_15;394.23;63,08;36,41;1,70;62,05;1,03
07,11.2019 11:04:55;36.7;1.64;297.6;357.61710693343946;283.8;Module 1,1_15;401.91;60,19;36,43;1,74;63,40;-3,22
07,11.2019 11:06:48;36.9;1.71;297.6;362.55741410565724;283.81;Module 1,1_15;407.03;63,10;36,44;1,77;64,33;-1,23
07,11.2019 11:09:17;38;1.71;297.6;369.9008196443109;283.79;Module 1,1_15;414.71;64,98;36,45;1,80;65,71;-0,73
07,11.2019 11:11:10;37;1.76;297.6;377.1286298557347;283.82;Module 1,1_15;422.39;65,12;36,46;1,84;67,06;-1,94
07,11.2019 11:13:03;37.5;1.59;299.1;386.6491317946923;283.97;Module 1,1_15;432.63;59,63;36,21;1,89;68,36;-8,74
07,11.2019 11:14:56;39.4;1.3;299.1;391.5983575102564;284.03;Module 1,1_15;437.75;51,22;36,21;1,91;69,28;-18,06
07,11.2019 11:16:49;40.1;1.04;301.2;401.1320866253933;284.1;Module 1,1_15;447.99;41,70;35,85;1,96;70,35;-28,65
07,11.2019 11:18:45;40.3;1.02;301.2;403.80080272099985;284.01;Module 1,1_15;450.55;41,11;35,85;1,98;70,84;-29,73
07,11.2019 11:20:39;40.3;0.92;301.2;408.7550694300326;284.08;Module 1,1_15;455.67;37,08;35,86;2,00;71,75;-34,67
07,11.2019 11:22:32;40.3;0.82;303.2;413.7059645706836;284.07;Module 1,1_15;460.79;33,05;35,51;2,03;71,96;-38,92
07,11.2019 11:24:34;40.3;0.83;303.2;420.9849988849297;284.14;Module 1,1_15;468.47;33,45;35,52;2,06;73,29;-39,84
07,11.2019 11:26:30;40.3;0.82;303.7;428.24866479082016;284.25;Module 1,1_15;476.15;33,05;35,43;2,10;74,43;-41,38
07,11.2019 11:28:22;40.3;0.81;303.7;435.5033092120529;284.35;Module 1,1_15;483.83;32,64;35,44;2,14;75,74;-43,10
07,11.2019 11:30:15;40.3;0.99;305.2;440.45812451708656;284.42;Module 1,1_15;488.95;39,90;35,17;2,16;76,08;-36,18
07,11.2019 11:31:58;40.3;0.86;305.2;447.6901904513827;284.49;Module 1,1_15;496.63;34,66;35,18;2,20;77,38;-42,72
07,11.2019 11:33:51;40.3;0.85;305.2;443.408176259741;284.48;Module 1,1_15;491.51;34,25;35,18;2,18;76,61;-42,35
07,11.2019 11:35:43;40.2;0.75;305.7;383.6415604104402;284.47;Module 1,1_15;424.95;30,15;35,02;1,88;65,68;-35,53
07,11.2019 11:37:37;40.3;1.02;305.7;462.5557784971619;284.6;Module 1,1_15;511.99;41,11;35,10;2,27;79,85;-38,74
07,11.2019 11:39:30;40.2;1.1;305.7;469.8240499391755;284.78;Module 1,1_15;519.67;44,22;35,10;2,31;81,15;-36,93
07,11.2019 11:41:23;36;2.2;305.7;470.1466359285597;284.83;Module 1,1_15;519.67;79,20;35,10;2,31;81,21;-2,01
07,11.2019 11:43:17;36.1;2.25;305.7;479.7353669072509;284.9;Module 1,1_15;529.91;81,23;35,11;2,36;82,92;-1,70
07,11.2019 11:45:10;36.2;2.2;305.2;475.41180787713677;284.84;Module 1,1_15;524.79;79,64;35,20;2,34;82,35;-2,71
07,11.2019 11:47:03;36;2.26;305.2;482.6785232225509;284.79;Module 1,1_15;532.47;81,36;35,20;2,38;83,65;-2,29
07,11.2019 11:48:55;36.1;2.13;305.2;494.5887706932149;284.92;Module 1,1_15;545.27;76,89;35,20;2,44;85,78;-8,89
07,11.2019 11:50:48;36;2.32;305.2;499.5389579041163;284.97;Module 1,1_15;550.39;83,52;35,20;2,46;86,67;-3,15
07,11.2019 11:52:41;35.9;2.36;305.2;509.13788629703384;285.07;Module 1,1_15;560.63;84,72;35,20;2,51;88,38;-3,66
07,11.2019 11:54:34;36;2.41;305.2;511.76252297362123;285.14;Module 1,1_15;563.19;86,76;35,20;2,52;88,85;-2,09
07,11.2019 11:56:27;35.9;2.43;305.2;523.6936312755158;285.18;Module 1,1_15;575.99;87,24;35,20;2,58;90,98;-3,74
07,11.2019 11:58:20;36;2.47;305.2;521.658195540231;285.36;Module 1,1_15;573.43;88,92;35,20;2,57;90,62;-1,70
07,11.2019 12:00:13;35.9;2.43;305.2;524.2741419125459;285.6;Module 1,1_15;575.99;87,24;35,20;2,59;91,09;-3,85
07,11.2019 12:02:05;36;2.44;305.2;515.2269893691214;285.71;Module 1,1_15;565.75;87,84;35,20;2,54;89,47;-1,63
07,11.2019 12:03:59;35.9;2.41;305.2;513.1666484829657;285.88;Module 1,1_15;563.19;86,52;35,20;2,53;89,10;-2,58
07,11.2019 12:05:52;36;2.48;305.2;532.0999385623917;285.91;Module 1,1_15;583.67;89,28;35,21;2,63;92,48;-3,20
07,11.2019 12:07:45;36;2.44;305.2;525.3614166458909;285.97;Module 1,1_15;575.99;87,84;35,20;2,59;91,28;-3,44
07,11.2019 12:09:39;36.4;2.47;305.2;537.3015045755981;286.03;Module 1,1_15;588.79;89,91;35,21;2,65;93,41;-3,50
07,11.2019 12:11:32;35.9;2.52;305.2;539.8958364100511;286.14;Module 1,1_15;591.35;90,47;35,20;2,67;93,87;-3,40
07,11.2019 12:13:26;35.6;2.42;305.7;509.7519775915496;285.99;Module 1,1_15;558.07;86,15;35,12;2,51;88,28;-2,12
07,11.2019 12:15:20;35.9;2.63;305.7;556.7756791179813;285.99;Module 1,1_15;609.27;94,42;35,12;2,75;96,63;-2,21
07,11.2019 12:17:13;35.9;2.54;305.7;550.0029752623923;286.14;Module 1,1_15;601.59;91,19;35,12;2,72;95,43;-4,24
07,11.2019 12:19:05;35.8;2.55;305.7;559.6069745219095;286.19;Module 1,1_15;611.83;91,29;35,12;2,77;97,13;-5,84
07,11.2019 12:20:58;35.8;2.41;305.7;524.7084648464468;286.3;Module 1,1_15;573.43;86,28;35,12;2,59;90,94;-4,66
07,11.2019 12:22:59;35.8;2.51;305.7;534.3167336657988;286.48;Module 1,1_15;583.67;89,86;35,12;2,64;92,65;-2,79
07,11.2019 12:24:51;35.7;2.26;305.7;475.92020665894256;286.24;Module 1,1_15;519.67;80,68;35,11;2,34;82,24;-1,56
07,11.2019 12:26:47;35.5;2.65;306.7;541.786563686442;286.08;Module 1,1_15;591.35;94,08;34,94;2,68;93,51;0,57
07,11.2019 12:28:41;35.6;2.5;306.7;553.7304152239248;286.07;Module 1,1_15;604.15;89,00;34,94;2,74;95,61;-6,61
07,11.2019 12:30:34;35.8;2.65;306.7;582.107152863618;286.25;Module 1,1_15;634.87;94,87;34,93;2,88;100,61;-5,74
07,11.2019 12:32:27;35.9;2.77;306.7;594.0631016716923;286.4;Module 1,1_15;647.67;99,44;34,93;2,94;102,71;-3,27
07,11.2019 12:34:19;35.9;2.69;306.7;483.87506496835783;286.5;Module 1,1_15;527.35;96,57;34,93;2,38;83,25;13,33
07,11.2019 12:36:12;35.6;2.78;306.7;592.1356744291942;286.6;Module 1,1_15;645.11;98,97;34,93;2,93;102,37;-3,41
07,11.2019 12:38:05;35.7;1.37;306.7;340.82637914286664;286.61;Module 1,1_15;371.19;48,91;34,77;1,66;57,67;-8,76
07,11.2019 12:39:58;36.9;2.58;306.7;599.5926261869456;286.4;Module 1,1_15;652.79;95,20;34,93;2,97;103,68;-8,48
07,11.2019 12:41:51;36.4;1.72;306.7;362.22193778137625;286.56;Module 1,1_15;394.23;62,61;34,81;1,77;61,51;1,09
07,11.2019 12:43:44;35.5;2.98;306.7;631.8093042178275;286.62;Module 1,1_15;687.42;105,79;34,91;3,13;109,32;-3,53
07,11.2019 12:45:36;35.2;2.47;306.7;477.7774273088123;286.75;Module 1,1_15;519.67;86,94;34,93;2,35;82,16;4,78
07,11.2019 12:47:29;34.7;2.6;306.7;553.2615830452734;286.65;Module 1,1_15;601.59;90,22;34,94;2,73;95,53;-5,31
07,11.2019 12:49:54;35.1;2.88;306.7;603.9337500977176;286.69;Module 1,1_15;656.44;101,09;34,92;2,99;104,44;-3,36
07,11.2019 12:51:46;34.6;2.95;306.7;610.8415302087924;286.78;Module 1,1_15;663.76;102,07;34,92;3,03;105,65;-3,58
07,11.2019 12:53:39;34.6;2.42;306.7;530.2168022756135;286.97;Module 1,1_15;575.99;83,73;34,94;2,62;91,46;-7,73
07,11.2019 12:55:35;33.8;3.11;306.7;629.9568408030387;287.08;Module 1,1_15;684.15;105,12;34,91;3,12;109,00;-3,88
07,11.2019 12:57:37;34.2;3.04;306.7;634.8518628995462;287.25;Module 1,1_15;689.27;103,97;34,91;3,15;109,85;-5,89
07,11.2019 12:59:30;33.4;3.11;306.7;511.7832584515146;287.21;Module 1,1_15;555.51;103,87;34,94;2,52;88,20;15,68
07,11.2019 13:01:23;34.3;3.24;306.7;669.2039615931058;287.29;Module 1,1_15;726.2;111,13;34,88;3,32;115,84;-4,71
07,11.2019 13:03:16;34.1;3.42;306.7;658.3970882378404;287.5;Module 1,1_15;714.3;116,62;34,89;3,27;113,96;2,66
07,11.2019 13:05:25;33.6;2.6;306.7;547.5755342442841;287.58;Module 1,1_15;593.91;87,36;34,94;2,71;94,53;-7,17
07,11.2019 13:07:18;33.3;1.77;306.7;337.5872697596604;287.37;Module 1,1_15;366.07;58,94;34,77;1,64;57,09;1,85
07,11.2019 13:11:09;35.6;1.58;306.7;351.90785610467424;286.41;Module 1,1_15;381.43;56,25;34,79;1,71;59,66;-3,41
07,11.2019 13:13:04;35.1;3.16;306.7;708.715799177883;286.32;Module 1,1_15;768.01;110,92;34,85;3,52;122,69;-11,78
07,11.2019 13:14:56;34.5;3.46;306.7;703.8164908816566;286.75;Module 1,1_15;762.55;119,37;34,86;3,50;121,85;-2,48
07,11.2019 13:16:49;34.9;3.24;306.7;686.6615900652666;287.32;Module 1,1_15;743.82;113,08;34,88;3,41;118,87;-5,80
07,11.2019 13:18:46;34;3.42;306.7;696.3136134914288;287.71;Module 1,1_15;754.13;116,28;34,87;3,46;120,55;-4,27
07,11.2019 13:23:06;34.4;3.57;306.7;724.7401848199756;287.56;Module 1,1_15;784.6;122,81;34,84;3,60;125,46;-2,65
07,11.2019 13:24:59;34.9;2.56;306.7;584.1652556016124;287.73;Module 1,1_15;632.31;89,34;34,93;2,89;100,97;-11,63
07,11.2019 13:26:52;35.3;3.41;306.7;655.2122989443133;287.43;Module 1,1_15;709.1;120,37;34,90;3,25;113,41;6,97
07,11.2019 13:28:45;34.6;1.99;306.7;357.2287319967317;287.12;Module 1,1_15;386.55;68,85;34,80;1,74;60,62;8,24
07,11.2019 13:30:37;34.7;3.52;306.7;712.1115751656308;287.01;Module 1,1_15;770.45;122,14;34,85;3,54;123,28;-1,14
07,11.2019 13:32:31;35;2.98;305.7;714.3474456566033;287.43;Module 1,1_15;772.76;104,30;35,02;3,55;124,29;-19,99
07,11.2019 13:34:23;34.3;3.42;305.7;716.531533343715;287.85;Module 1,1_15;775.02;117,31;35,02;3,56;124,66;-7,36
07,11.2019 13:36:35;33.5;3.51;306.7;699.0598692440466;288.07;Module 1,1_15;756.01;117,58;34,86;3,47;121,02;-3,44
07,11.2019 13:38:32;33.5;3.29;306.7;681.8904172911641;288.32;Module 1,1_15;737.35;110,22;34,88;3,38;118,05;-7,83
07,11.2019 13:40:25;34.6;3.1;306.7;641.5966957969032;288.56;Module 1,1_15;693.7;107,26;34,91;3,18;111,03;-3,77
07,11.2019 13:42:19;34.5;3.07;306.7;643.128033022441;288.78;Module 1,1_15;695.28;105,91;34,91;3,19;111,30;-5,38
07,11.2019 13:44:14;33.9;3.22;306.7;666.2570607223316;289.14;Module 1,1_15;720.21;109,16;34,89;3,31;115,33;-6,17
07,11.2019 13:48:01;32.8;3.34;309.2;665.9553826974945;288.91;Module 1,1_15;719.75;109,55;34,45;3,30;113,83;-4,28
07,11.2019 13:49:54;34.1;3.22;309.2;649.6603020341381;289.01;Module 1,1_15;702.08;109,80;34,46;3,22;111,03;-1,23
07,11.2019 13:52:18;34;3.17;309.2;656.0814516835028;288.66;Module 1,1_15;708.95;107,78;34,45;3,25;112,13;-4,35
07,11.2019 13:54:14;34.3;3.2;309.2;655.8970428556827;288.64;Module 1,1_15;708.7;109,76;34,45;3,25;112,10;-2,34
07,11.2019 13:56:07;34.3;2.32;309.2;516.5228649860683;288.85;Module 1,1_15;558.07;79,58;34,49;2,55;87,92;-8,35
07,11.2019 13:58:00;34.1;3.31;309.2;671.2398023519083;288.51;Module 1,1_15;725.19;112,87;34,45;3,33;114,74;-1,87
07,11.2019 13:59:56;34.5;3.19;309.2;665.684342100214;288.38;Module 1,1_15;719.15;110,05;34,45;3,30;113,78;-3,73
07,11.2019 14:03:47;33.7;3.47;309.2;709.936388480397;288.18;Module 1,1_15;766.89;116,94;34,41;3,53;121,36;-4,42
07,11.2019 14:05:41;34.7;3.45;309.2;696.9252622888879;288.25;Module 1,1_15;752.81;119,72;34,42;3,46;119,14;0,58
07,11.2019 14:07:37;34.9;3.14;309.2;643.9614689382088;288.4;Module 1,1_15;695.58;109,59;34,46;3,19;110,05;-0,46
07,11.2019 14:09:29;34.1;2.67;309.2;547.4775470459167;288.48;Module 1,1_15;591.35;91,05;34,49;2,71;93,33;-2,28
07,11.2019 14:11:23;34.2;2.59;306.7;533.2649720439238;288.49;Module 1,1_15;575.99;88,58;34,94;2,63;92,00;-3,42
07,11.2019 14:13:16;34.5;2.52;306.7;538.009741795471;288.56;Module 1,1_15;581.11;86,94;34,94;2,66;92,84;-5,90
07,11.2019 14:15:11;34.2;2.41;306.7;504.8291172313377;288.63;Module 1,1_15;545.27;82,42;34,94;2,49;86,97;-4,54
07,11.2019 14:17:05;35.2;2.41;306.7;514.3075803779435;288.6;Module 1,1_15;555.51;84,83;34,94;2,54;88,65;-3,81
07,11.2019 14:18:58;34.8;1.65;306.7;357.8757602019179;288.53;Module 1,1_15;386.55;57,42;34,80;1,74;60,73;-3,31
07,11.2019 14:20:51;35.3;2.51;306.7;535.6244058777933;288.3;Module 1,1_15;578.55;88,60;34,94;2,65;92,42;-3,81
07,11.2019 14:23:07;34.3;3.11;306.7;621.6327112780061;288.49;Module 1,1_15;671.47;106,67;34,91;3,08;107,54;-0,87
07,11.2019 14:25:01;34;2.92;306.7;611.3748754446161;288.57;Module 1,1_15;660.41;99,28;34,92;3,03;105,75;-6,47
07,11.2019 14:26:55;34.3;2.98;306.7;611.2688819334413;288.91;Module 1,1_15;660.32;102,21;34,92;3,03;105,73;-3,52
07,11.2019 14:30:42;34.2;1.97;306.7;409.93364541909045;288.98;Module 1,1_15;442.87;67,37;34,88;2,01;70,06;-2,69
07,11.2019 14:32:35;35.1;2.07;306.7;447.8222614865229;288.61;Module 1,1_15;483.83;72,66;34,91;2,20;76,83;-4,17
07,11.2019 14:34:28;34.8;2.74;306.7;580.4766362736314;288.61;Module 1,1_15;627.19;95,35;34,93;2,87;100,33;-4,97
07,11.2019 14:36:21;35;2.78;306.7;573.3288546174463;288.75;Module 1,1_15;619.51;97,30;34,94;2,84;99,07;-1,77
07,11.2019 14:40:30;34.2;1.31;306.7;278.47586528183274;288.6;Module 1,1_15;300.96;44,80;34,59;1,34;46,46;-1,66
07,11.2019 14:42:24;35;1.92;306.7;395.5352226111937;288.31;Module 1,1_15;427.51;67,20;34,86;1,94;67,48;-0,28
07,11.2019 14:44:17;34.2;1.85;306.7;345.762213260812;288.17;Module 1,1_15;373.75;63,27;34,78;1,68;58,56;4,71
07,11.2019 14:46:18;34.7;1.75;306.7;369.4035686696454;288;Module 1,1_15;399.35;60,73;34,82;1,80;62,80;-2,08
07,11.2019 14:48:11;34.9;1.32;305.7;278.09208347690964;287.82;Module 1,1_15;300.67;46,07;34,77;1,34;46,62;-0,55
07,11.2019 15:01:43;35.5;1.41;303.7;286.07679226862723;286.52;Module 1,1_15;309.62;50,05;35,16;1,38;48,54;1,52
07,11.2019 15:03:36;35.5;2.12;303.7;435.137665375636;286.55;Module 1,1_15;471.03;75,26;35,44;2,14;75,68;-0,42
07,11.2019 15:15:17;35.9;1.73;303.2;354.2825459799576;286.75;Module 1,1_15;383.99;62,11;35,42;1,73;61,13;0,98
07,11.2019 15:17:13;36;1.75;303.2;361.281350788614;286.96;Module 1,1_15;391.67;63,00;35,44;1,76;62,41;0,59
07,11.2019 15:19:09;35.5;1.78;303.2;354.10854542991035;287.1;Module 1,1_15;383.99;63,19;35,42;1,72;61,10;2,09
07,11.2019 15:21:03;35.1;1.45;303.2;290.74491249960784;287.15;Module 1,1_15;315.36;50,90;35,27;1,40;49,51;1,38
07,11.2019 15:32:51;35.5;1.39;303.7;303.90408271537177;287.05;Module 1,1_15;330.23;49,34;35,22;1,47;51,79;-2,45
09,11.2019 13:57:40;36.4;3.16;297.1;683.7289828011916;282.6;Module 1,1_15;740.05;115,02;36,56;3,39;123,99;-8,96
09,11.2019 14:03:30;36.2;1.6;297.6;284.1101873340293;283.17;Module 1,1_15;307.47;57,92;36,26;1,37;49,60;8,32
09,11.2019 15:09:23;36.7;1.36;297.1;291.65140010974255;282.41;Module 1,1_15;316.53;49,91;36,37;1,41;51,13;-1,22
10,11.2019 13:30:09;36;1.86;295.6;462.4575444748259;279.65;Module 1,1_15;501.75;66,96;36,89;2,27;83,77;-16,81
10,11.2019 13:47:42;37.2;1.95;297.1;479.5009764965742;280.52;Module 1,1_15;519.67;72,54;36,63;2,36;86,37;-13,83
10,11.2019 13:49:39;36.6;1.69;297.1;562.224623518395;280.89;Module 1,1_15;609.27;61,85;36,63;2,78;101,71;-39,86
10,11.2019 13:51:54;37.2;1.13;297.1;380.36085647741686;281.52;Module 1,1_15;412.15;42,04;36,55;1,86;67,82;-25,79
10,11.2019 13:53:49;36.1;2.25;297.6;552.8667263269033;281.92;Module 1,1_15;599.03;81,23;36,55;2,73;99,75;-18,52
10,11.2019 13:55:47;35.5;3.11;297.6;674.2044443617069;282.48;Module 1,1_15;730.45;110,41;36,48;3,34;121,97;-11,56
10,11.2019 13:57:48;35.5;1.37;297.6;277.2582965927611;283.17;Module 1,1_15;300.37;48,64;36,23;1,33;48,31;0,33
10,11.2019 13:59:58;35.5;3.12;299.1;659.8019758863059;283.67;Module 1,1_15;714.76;110,76;36,23;3,27;118,51;-7,75
10,11.2019 14:01:53;34.7;1.29;299.1;330.8481228701366;284.13;Module 1,1_15;358.39;44,76;36,11;1,61;57,97;-13,21
10,11.2019 14:04:02;35.8;1.42;301.2;287.17677726948904;284;Module 1,1_15;311.07;50,84;35,62;1,39;49,33;1,51
10,11.2019 14:05:56;35.6;2.46;301.2;555.3989657273008;284.16;Module 1,1_15;601.59;87,58;35,91;2,74;98,52;-10,95
10,11.2019 14:09:54;35.1;2.81;301.7;660.3880049380034;284;Module 1,1_15;715.28;98,63;35,77;3,27;117,15;-18,52
10,11.2019 14:11:57;35;3.19;301.7;664.3468989610352;284.39;Module 1,1_15;719.56;111,65;35,77;3,29;117,86;-6,21
10,11.2019 14:13:50;35.8;2.82;301.7;602.7023602388522;284.61;Module 1,1_15;652.79;100,96;35,80;2,98;106,82;-5,86
10,11.2019 14:15:43;35.1;2.56;301.7;531.793519618564;284.7;Module 1,1_15;575.99;89,86;35,83;2,62;94,01;-4,16
10,11.2019 14:17:35;35.3;2.88;303.2;597.9678156383818;284.92;Module 1,1_15;647.67;101,66;35,55;2,96;105,20;-3,53
10,11.2019 14:19:28;35.3;2.76;303.2;588.5042529518399;285.2;Module 1,1_15;637.43;97,43;35,55;2,91;103,51;-6,08
10,11.2019 14:21:21;35.7;2.64;303.2;560.1295597260004;285.49;Module 1,1_15;606.71;94,25;35,55;2,77;98,43;-4,18
10,11.2019 14:23:27;34.7;2.65;303.7;557.74778220385;285.67;Module 1,1_15;604.15;91,95;35,47;2,76;97,76;-5,80
