date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
31,07.2019 07:07:26;21.1;0;287.9;0.0001;289.1;Module 1,5_11;1.2;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:08:39;20.7;0;287.9;0.0001;289.1;Module 1,5_11;1.11;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:09:55;20;0;287.9;0.0001;289.09;Module 1,5_11;1.14;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:11:08;20.2;0;287.9;0.0001;289.09;Module 1,5_11;1.23;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:12:20;20;0;287.9;0.0001;289.1;Module 1,5_11;1.02;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:13:38;20;0;287.9;0.0001;289.08;Module 1,5_11;1.03;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:14:51;20.1;0;287.9;0.0001;289.1;Module 1,5_11;1.08;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:16:04;18.7;0;287.9;0.0001;289.1;Module 1,5_11;1.09;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:17:17;20.1;0;287.9;0.0001;289.1;Module 1,5_11;1.13;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:18:29;20.1;0;287.9;0.0001;289.1;Module 1,5_11;1.28;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:19:54;21.3;0;288.4;0.0001;289.13;Module 1,5_11;1.38;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:21:51;21.5;0;288.4;0.0001;289.15;Module 1,5_11;1.65;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:23:03;24.1;0;288.4;0.0001;289.15;Module 1,5_11;1.7;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:24:16;24.5;0;289.9;0.0001;289.14;Module 1,5_11;1.75;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:25:29;24.3;0;289.9;0.0001;289.12;Module 1,5_11;1.7;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:26:42;24;0;289.9;0.33427954787412356;289.12;Module 1,5_11;1.74;0,00;0,16;0,00;0,00;-0,00
31,07.2019 07:27:54;24.9;0;289.9;0.35733330979647693;289.14;Module 1,5_11;1.86;0,00;0,18;0,00;0,00;-0,00
31,07.2019 07:29:07;25.6;0;289.9;0.37462363123824194;289.12;Module 1,5_11;1.95;0,00;0,19;0,00;0,00;-0,00
31,07.2019 07:30:20;25.6;0;289.9;0.37846592489196745;289.11;Module 1,5_11;1.97;0,00;0,19;0,00;0,00;-0,00
31,07.2019 07:31:33;25.6;0;289.9;0.3842293653725558;289.1;Module 1,5_11;2;0,00;0,20;0,00;0,00;-0,00
31,07.2019 07:32:46;25.6;0;289.9;0.7220906571799202;289.1;Module 1,5_11;2.28;0,00;0,36;0,00;0,00;-0,00
31,07.2019 07:33:58;25.6;0;289.9;0.9332415787246343;289.09;Module 1,5_11;2.22;0,00;0,47;0,00;0,00;-0,00
31,07.2019 07:58:47;29.2;0.01;290.4;13.767208775641478;289.14;Module 1,5_11;16.04;0,29;6,87;0,04;0,25;0,04
